"year","species","bio_total_kg","port","timeseries","maxbio","index","metric"
2015,"longspine thornyhead",44320159.2025714,"AST","Longspine thornyhead AST",48709034.1897256,0.909896078619437,"Scaled biomass index"
2016,"longspine thornyhead",44763578.2413838,"AST","Longspine thornyhead AST",48709034.1897256,0.918999503603911,"Scaled biomass index"
2017,"longspine thornyhead",48709034.1897256,"AST","Longspine thornyhead AST",48709034.1897256,1,"Scaled biomass index"
2018,"longspine thornyhead",47478246.9992804,"AST","Longspine thornyhead AST",48709034.1897256,0.97473184983198,"Scaled biomass index"
2019,"longspine thornyhead",44073677.8830073,"AST","Longspine thornyhead AST",48709034.1897256,0.904835799275691,"Scaled biomass index"
2021,"longspine thornyhead",47984797.7205154,"AST","Longspine thornyhead AST",48709034.1897256,0.985131372829335,"Scaled biomass index"
2022,"longspine thornyhead",46165187.6533648,"AST","Longspine thornyhead AST",48709034.1897256,0.94777464635303,"Scaled biomass index"
2023,"longspine thornyhead",45280531.6322238,"AST","Longspine thornyhead AST",48709034.1897256,0.929612594161741,"Scaled biomass index"
2024,"longspine thornyhead",44189050.2637393,"AST","Longspine thornyhead AST",48709034.1897256,0.907204402608752,"Scaled biomass index"
2003,"longspine thornyhead",24713687.352276,"COS","Longspine thornyhead COS",48709034.1897256,0.507373791400056,"Scaled biomass index"
2004,"longspine thornyhead",25179652.1512992,"COS","Longspine thornyhead COS",48709034.1897256,0.516940082474689,"Scaled biomass index"
2005,"longspine thornyhead",21733460.9455234,"COS","Longspine thornyhead COS",48709034.1897256,0.446189527406144,"Scaled biomass index"
2006,"longspine thornyhead",23646902.4832794,"COS","Longspine thornyhead COS",48709034.1897256,0.485472620770365,"Scaled biomass index"
2007,"longspine thornyhead",25610738.1887918,"COS","Longspine thornyhead COS",48709034.1897256,0.525790310048766,"Scaled biomass index"
2008,"longspine thornyhead",24190143.5524293,"COS","Longspine thornyhead COS",48709034.1897256,0.496625399267962,"Scaled biomass index"
2009,"longspine thornyhead",26685950.9248669,"COS","Longspine thornyhead COS",48709034.1897256,0.547864505400025,"Scaled biomass index"
2010,"longspine thornyhead",26552503.6485037,"COS","Longspine thornyhead COS",48709034.1897256,0.545124823150457,"Scaled biomass index"
2011,"longspine thornyhead",24906202.7720045,"COS","Longspine thornyhead COS",48709034.1897256,0.511326146911326,"Scaled biomass index"
2012,"longspine thornyhead",27184730.1980422,"COS","Longspine thornyhead COS",48709034.1897256,0.558104480005814,"Scaled biomass index"
2013,"longspine thornyhead",27158361.0889229,"COS","Longspine thornyhead COS",48709034.1897256,0.557563120285631,"Scaled biomass index"
2014,"longspine thornyhead",25733719.6749724,"COS","Longspine thornyhead COS",48709034.1897256,0.528315128867829,"Scaled biomass index"
2015,"longspine thornyhead",25880145.3832659,"COS","Longspine thornyhead COS",48709034.1897256,0.531321259264979,"Scaled biomass index"
2016,"longspine thornyhead",26431860.8347375,"COS","Longspine thornyhead COS",48709034.1897256,0.542648017445455,"Scaled biomass index"
2017,"longspine thornyhead",27179246.8927645,"COS","Longspine thornyhead COS",48709034.1897256,0.557991907351297,"Scaled biomass index"
2018,"longspine thornyhead",26460524.7977452,"COS","Longspine thornyhead COS",48709034.1897256,0.543236490682186,"Scaled biomass index"
2019,"longspine thornyhead",26794246.5832693,"COS","Longspine thornyhead COS",48709034.1897256,0.55008782311108,"Scaled biomass index"
2021,"longspine thornyhead",28143737.9531069,"COS","Longspine thornyhead COS",48709034.1897256,0.577792978679987,"Scaled biomass index"
2022,"longspine thornyhead",26796900.316512,"COS","Longspine thornyhead COS",48709034.1897256,0.550142304446767,"Scaled biomass index"
2023,"longspine thornyhead",29116724.9361028,"COS","Longspine thornyhead COS",48709034.1897256,0.597768471916131,"Scaled biomass index"
2024,"longspine thornyhead",29463492.870295,"COS","Longspine thornyhead COS",48709034.1897256,0.604887642722136,"Scaled biomass index"
2003,"longspine thornyhead",23794984.4836909,"BRK","Longspine thornyhead BRK",48709034.1897256,0.488512754964666,"Scaled biomass index"
2004,"longspine thornyhead",25587535.372539,"BRK","Longspine thornyhead BRK",48709034.1897256,0.525313954550474,"Scaled biomass index"
2005,"longspine thornyhead",25289108.0816996,"BRK","Longspine thornyhead BRK",48709034.1897256,0.519187220653904,"Scaled biomass index"
2006,"longspine thornyhead",26157850.1686376,"BRK","Longspine thornyhead BRK",48709034.1897256,0.537022558623327,"Scaled biomass index"
2007,"longspine thornyhead",26785167.6596089,"BRK","Longspine thornyhead BRK",48709034.1897256,0.549901432150728,"Scaled biomass index"
2008,"longspine thornyhead",29166380.965262,"BRK","Longspine thornyhead BRK",48709034.1897256,0.598787913791446,"Scaled biomass index"
2009,"longspine thornyhead",30054659.8748358,"BRK","Longspine thornyhead BRK",48709034.1897256,0.617024344144671,"Scaled biomass index"
2010,"longspine thornyhead",28219128.0562062,"BRK","Longspine thornyhead BRK",48709034.1897256,0.579340742957261,"Scaled biomass index"
2011,"longspine thornyhead",28917710.0770108,"BRK","Longspine thornyhead BRK",48709034.1897256,0.593682682443959,"Scaled biomass index"
2012,"longspine thornyhead",28054825.917525,"BRK","Longspine thornyhead BRK",48709034.1897256,0.575967608149428,"Scaled biomass index"
2013,"longspine thornyhead",28235392.3162866,"BRK","Longspine thornyhead BRK",48709034.1897256,0.579674649394761,"Scaled biomass index"
2014,"longspine thornyhead",28886373.7728945,"BRK","Longspine thornyhead BRK",48709034.1897256,0.593039345850705,"Scaled biomass index"
2015,"longspine thornyhead",29147388.6373718,"BRK","Longspine thornyhead BRK",48709034.1897256,0.59839799992421,"Scaled biomass index"
2016,"longspine thornyhead",30308456.5177406,"BRK","Longspine thornyhead BRK",48709034.1897256,0.622234807606465,"Scaled biomass index"
2017,"longspine thornyhead",29367263.2313517,"BRK","Longspine thornyhead BRK",48709034.1897256,0.602912041264539,"Scaled biomass index"
2018,"longspine thornyhead",30761902.3416092,"BRK","Longspine thornyhead BRK",48709034.1897256,0.631544083214402,"Scaled biomass index"
2019,"longspine thornyhead",28898209.0483509,"BRK","Longspine thornyhead BRK",48709034.1897256,0.593282324913077,"Scaled biomass index"
2021,"longspine thornyhead",31849410.0069767,"BRK","Longspine thornyhead BRK",48709034.1897256,0.653870694354577,"Scaled biomass index"
2022,"longspine thornyhead",30430848.3338971,"BRK","Longspine thornyhead BRK",48709034.1897256,0.624747520457222,"Scaled biomass index"
2023,"longspine thornyhead",30368063.3073088,"BRK","Longspine thornyhead BRK",48709034.1897256,0.623458539313729,"Scaled biomass index"
2024,"longspine thornyhead",31422176.1947208,"BRK","Longspine thornyhead BRK",48709034.1897256,0.645099553243633,"Scaled biomass index"
2003,"longspine thornyhead",21635523.4092198,"CRS","Longspine thornyhead CRS",48709034.1897256,0.444178862692035,"Scaled biomass index"
2004,"longspine thornyhead",23300894.1243981,"CRS","Longspine thornyhead CRS",48709034.1897256,0.478369044100511,"Scaled biomass index"
2005,"longspine thornyhead",23193582.92547,"CRS","Longspine thornyhead CRS",48709034.1897256,0.476165937413768,"Scaled biomass index"
2006,"longspine thornyhead",23199257.7663148,"CRS","Longspine thornyhead CRS",48709034.1897256,0.476282442307351,"Scaled biomass index"
2007,"longspine thornyhead",23626987.4503071,"CRS","Longspine thornyhead CRS",48709034.1897256,0.485063763700962,"Scaled biomass index"
2008,"longspine thornyhead",25574074.2452796,"CRS","Longspine thornyhead CRS",48709034.1897256,0.525037596632825,"Scaled biomass index"
2009,"longspine thornyhead",25064383.9547939,"CRS","Longspine thornyhead CRS",48709034.1897256,0.514573618051348,"Scaled biomass index"
2010,"longspine thornyhead",24842856.5892437,"CRS","Longspine thornyhead CRS",48709034.1897256,0.510025645190967,"Scaled biomass index"
2011,"longspine thornyhead",26463518.5633518,"CRS","Longspine thornyhead CRS",48709034.1897256,0.543297952906935,"Scaled biomass index"
2012,"longspine thornyhead",24821507.6501936,"CRS","Longspine thornyhead CRS",48709034.1897256,0.509587349925927,"Scaled biomass index"
2013,"longspine thornyhead",24806781.7090201,"CRS","Longspine thornyhead CRS",48709034.1897256,0.509285025287008,"Scaled biomass index"
2014,"longspine thornyhead",25406783.4518809,"CRS","Longspine thornyhead CRS",48709034.1897256,0.521603104527169,"Scaled biomass index"
2015,"longspine thornyhead",25939091.7964888,"CRS","Longspine thornyhead CRS",48709034.1897256,0.532531433398043,"Scaled biomass index"
2016,"longspine thornyhead",26985021.2667725,"CRS","Longspine thornyhead CRS",48709034.1897256,0.554004441181561,"Scaled biomass index"
2017,"longspine thornyhead",27093507.3905646,"CRS","Longspine thornyhead CRS",48709034.1897256,0.556231669160864,"Scaled biomass index"
2018,"longspine thornyhead",27314331.5126392,"CRS","Longspine thornyhead CRS",48709034.1897256,0.560765204381751,"Scaled biomass index"
2019,"longspine thornyhead",25403129.0374783,"CRS","Longspine thornyhead CRS",48709034.1897256,0.521528079134789,"Scaled biomass index"
2021,"longspine thornyhead",27478314.0453865,"CRS","Longspine thornyhead CRS",48709034.1897256,0.56413177765661,"Scaled biomass index"
2022,"longspine thornyhead",27888663.9645593,"CRS","Longspine thornyhead CRS",48709034.1897256,0.572556291219627,"Scaled biomass index"
2023,"longspine thornyhead",26727669.0720787,"CRS","Longspine thornyhead CRS",48709034.1897256,0.548720981984005,"Scaled biomass index"
2024,"longspine thornyhead",28002417.6729645,"CRS","Longspine thornyhead CRS",48709034.1897256,0.574891663092576,"Scaled biomass index"
2003,"longspine thornyhead",32622641.2137337,"ERK","Longspine thornyhead ERK",48709034.1897256,0.669745187035856,"Scaled biomass index"
2004,"longspine thornyhead",34065764.4152035,"ERK","Longspine thornyhead ERK",48709034.1897256,0.699372610890099,"Scaled biomass index"
2005,"longspine thornyhead",35018910.9789504,"ERK","Longspine thornyhead ERK",48709034.1897256,0.718940778881981,"Scaled biomass index"
2006,"longspine thornyhead",34656503.8783514,"ERK","Longspine thornyhead ERK",48709034.1897256,0.711500534856871,"Scaled biomass index"
2007,"longspine thornyhead",33038774.2101579,"ERK","Longspine thornyhead ERK",48709034.1897256,0.678288427593724,"Scaled biomass index"
2008,"longspine thornyhead",36496452.9442563,"ERK","Longspine thornyhead ERK",48709034.1897256,0.749274822450793,"Scaled biomass index"
2009,"longspine thornyhead",35549555.4795937,"ERK","Longspine thornyhead ERK",48709034.1897256,0.729834948915747,"Scaled biomass index"
2010,"longspine thornyhead",33872455.330602,"ERK","Longspine thornyhead ERK",48709034.1897256,0.695403961381499,"Scaled biomass index"
2011,"longspine thornyhead",36331405.3339859,"ERK","Longspine thornyhead ERK",48709034.1897256,0.745886383057241,"Scaled biomass index"
2012,"longspine thornyhead",37023566.0011943,"ERK","Longspine thornyhead ERK",48709034.1897256,0.760096491689499,"Scaled biomass index"
2013,"longspine thornyhead",35589395.5487289,"ERK","Longspine thornyhead ERK",48709034.1897256,0.730652868420781,"Scaled biomass index"
2014,"longspine thornyhead",35765915.0783866,"ERK","Longspine thornyhead ERK",48709034.1897256,0.734276827150287,"Scaled biomass index"
2015,"longspine thornyhead",36689084.6274781,"ERK","Longspine thornyhead ERK",48709034.1897256,0.753229564860005,"Scaled biomass index"
2016,"longspine thornyhead",38392650.1846781,"ERK","Longspine thornyhead ERK",48709034.1897256,0.788203889141708,"Scaled biomass index"
2017,"longspine thornyhead",38976147.5593588,"ERK","Longspine thornyhead ERK",48709034.1897256,0.80018313250769,"Scaled biomass index"
2018,"longspine thornyhead",38306099.8203969,"ERK","Longspine thornyhead ERK",48709034.1897256,0.786427003894011,"Scaled biomass index"
2019,"longspine thornyhead",35519213.1859211,"ERK","Longspine thornyhead ERK",48709034.1897256,0.729212019428899,"Scaled biomass index"
2021,"longspine thornyhead",39056063.800108,"ERK","Longspine thornyhead ERK",48709034.1897256,0.801823818718752,"Scaled biomass index"
2022,"longspine thornyhead",39146273.0340846,"ERK","Longspine thornyhead ERK",48709034.1897256,0.803675820826311,"Scaled biomass index"
2023,"longspine thornyhead",37413948.646417,"ERK","Longspine thornyhead ERK",48709034.1897256,0.768111075672054,"Scaled biomass index"
2024,"longspine thornyhead",38422617.4016796,"ERK","Longspine thornyhead ERK",48709034.1897256,0.788819118277329,"Scaled biomass index"
2003,"longspine thornyhead",25090382.7394012,"BRG","Longspine thornyhead BRG",48709034.1897256,0.515107374982475,"Scaled biomass index"
2004,"longspine thornyhead",25450929.5001759,"BRG","Longspine thornyhead BRG",48709034.1897256,0.522509426096246,"Scaled biomass index"
2005,"longspine thornyhead",24427357.2380617,"BRG","Longspine thornyhead BRG",48709034.1897256,0.501495413415819,"Scaled biomass index"
2006,"longspine thornyhead",22560638.0036574,"BRG","Longspine thornyhead BRG",48709034.1897256,0.463171532323591,"Scaled biomass index"
2007,"longspine thornyhead",25481436.5534406,"BRG","Longspine thornyhead BRG",48709034.1897256,0.523135738109451,"Scaled biomass index"
2008,"longspine thornyhead",26083190.4395033,"BRG","Longspine thornyhead BRG",48709034.1897256,0.535489788976459,"Scaled biomass index"
2009,"longspine thornyhead",24068743.1447975,"BRG","Longspine thornyhead BRG",48709034.1897256,0.494133040106027,"Scaled biomass index"
2010,"longspine thornyhead",23851004.5976136,"BRG","Longspine thornyhead BRG",48709034.1897256,0.489662851961138,"Scaled biomass index"
2011,"longspine thornyhead",24986498.5221598,"BRG","Longspine thornyhead BRG",48709034.1897256,0.512974624477986,"Scaled biomass index"
2012,"longspine thornyhead",25612051.7965102,"BRG","Longspine thornyhead BRG",48709034.1897256,0.525817278510374,"Scaled biomass index"
2013,"longspine thornyhead",24350354.7043069,"BRG","Longspine thornyhead BRG",48709034.1897256,0.499914545820397,"Scaled biomass index"
2014,"longspine thornyhead",25248588.1350953,"BRG","Longspine thornyhead BRG",48709034.1897256,0.518355343215183,"Scaled biomass index"
2015,"longspine thornyhead",25480940.549578,"BRG","Longspine thornyhead BRG",48709034.1897256,0.523125555114225,"Scaled biomass index"
2016,"longspine thornyhead",25791469.6370316,"BRG","Longspine thornyhead BRG",48709034.1897256,0.52950073977184,"Scaled biomass index"
2017,"longspine thornyhead",26605402.3295765,"BRG","Longspine thornyhead BRG",48709034.1897256,0.54621083690443,"Scaled biomass index"
2018,"longspine thornyhead",25936904.5627025,"BRG","Longspine thornyhead BRG",48709034.1897256,0.532486529329983,"Scaled biomass index"
2019,"longspine thornyhead",26062530.6829751,"BRG","Longspine thornyhead BRG",48709034.1897256,0.535065642678512,"Scaled biomass index"
2021,"longspine thornyhead",29000021.7541064,"BRG","Longspine thornyhead BRG",48709034.1897256,0.595372547136718,"Scaled biomass index"
2022,"longspine thornyhead",28996433.541467,"BRG","Longspine thornyhead BRG",48709034.1897256,0.595298880871331,"Scaled biomass index"
2023,"longspine thornyhead",26973049.5514886,"BRG","Longspine thornyhead BRG",48709034.1897256,0.55375866099965,"Scaled biomass index"
2024,"longspine thornyhead",26901720.6698836,"BRG","Longspine thornyhead BRG",48709034.1897256,0.552294273893817,"Scaled biomass index"
2003,"longspine thornyhead",7822514.98996054,"MRO","Longspine thornyhead MRO",48709034.1897256,0.160596799343038,"Scaled biomass index"
2004,"longspine thornyhead",7629380.9464943,"MRO","Longspine thornyhead MRO",48709034.1897256,0.156631743441622,"Scaled biomass index"
2005,"longspine thornyhead",7527008.56806468,"MRO","Longspine thornyhead MRO",48709034.1897256,0.154530031097443,"Scaled biomass index"
2006,"longspine thornyhead",7412899.54962934,"MRO","Longspine thornyhead MRO",48709034.1897256,0.152187364683839,"Scaled biomass index"
2007,"longspine thornyhead",7393454.21712819,"MRO","Longspine thornyhead MRO",48709034.1897256,0.151788150599129,"Scaled biomass index"
2008,"longspine thornyhead",7300010.41283304,"MRO","Longspine thornyhead MRO",48709034.1897256,0.149869742528643,"Scaled biomass index"
2009,"longspine thornyhead",7759865.83983105,"MRO","Longspine thornyhead MRO",48709034.1897256,0.159310607753086,"Scaled biomass index"
2010,"longspine thornyhead",7351572.602156,"MRO","Longspine thornyhead MRO",48709034.1897256,0.150928318010188,"Scaled biomass index"
2011,"longspine thornyhead",7294558.60730762,"MRO","Longspine thornyhead MRO",48709034.1897256,0.149757816566322,"Scaled biomass index"
2012,"longspine thornyhead",7543400.15896997,"MRO","Longspine thornyhead MRO",48709034.1897256,0.154866551646001,"Scaled biomass index"
2013,"longspine thornyhead",7177846.98451719,"MRO","Longspine thornyhead MRO",48709034.1897256,0.147361718496797,"Scaled biomass index"
2014,"longspine thornyhead",8008142.96268244,"MRO","Longspine thornyhead MRO",48709034.1897256,0.164407755068394,"Scaled biomass index"
2015,"longspine thornyhead",7562883.45401241,"MRO","Longspine thornyhead MRO",48709034.1897256,0.155266545104433,"Scaled biomass index"
2016,"longspine thornyhead",7905854.71072518,"MRO","Longspine thornyhead MRO",48709034.1897256,0.162307769846785,"Scaled biomass index"
2017,"longspine thornyhead",8307294.87691362,"MRO","Longspine thornyhead MRO",48709034.1897256,0.170549365535684,"Scaled biomass index"
2018,"longspine thornyhead",7550703.92082834,"MRO","Longspine thornyhead MRO",48709034.1897256,0.155016498405978,"Scaled biomass index"
2019,"longspine thornyhead",7766488.98985852,"MRO","Longspine thornyhead MRO",48709034.1897256,0.159446581502877,"Scaled biomass index"
2021,"longspine thornyhead",7997117.90782439,"MRO","Longspine thornyhead MRO",48709034.1897256,0.164181409893593,"Scaled biomass index"
2022,"longspine thornyhead",8270944.48751973,"MRO","Longspine thornyhead MRO",48709034.1897256,0.169803089408501,"Scaled biomass index"
2023,"longspine thornyhead",8654218.07033354,"MRO","Longspine thornyhead MRO",48709034.1897256,0.17767172382488,"Scaled biomass index"
2024,"longspine thornyhead",7614973.44307912,"MRO","Longspine thornyhead MRO",48709034.1897256,0.156335956352947,"Scaled biomass index"
2003,"petrale sole",8397276.35700868,"BLL","Petrale sole BLL",47518396.8101938,0.176716322954887,"Scaled biomass index"
2004,"petrale sole",7053348.11889037,"BLL","Petrale sole BLL",47518396.8101938,0.148434050649143,"Scaled biomass index"
2005,"petrale sole",6208843.12807841,"BLL","Petrale sole BLL",47518396.8101938,0.13066188139467,"Scaled biomass index"
2006,"petrale sole",6049611.68991877,"BLL","Petrale sole BLL",47518396.8101938,0.127310938415771,"Scaled biomass index"
2007,"petrale sole",5476307.20327226,"BLL","Petrale sole BLL",47518396.8101938,0.115246043025119,"Scaled biomass index"
2008,"petrale sole",5039346.24348019,"BLL","Petrale sole BLL",47518396.8101938,0.106050426398206,"Scaled biomass index"
2009,"petrale sole",5476538.31581721,"BLL","Petrale sole BLL",47518396.8101938,0.115250906668685,"Scaled biomass index"
2010,"petrale sole",9158104.91127332,"BLL","Petrale sole BLL",47518396.8101938,0.192727565028219,"Scaled biomass index"
2011,"petrale sole",13767585.7923938,"BLL","Petrale sole BLL",47518396.8101938,0.289731697965035,"Scaled biomass index"
2012,"petrale sole",13561088.8014679,"BLL","Petrale sole BLL",47518396.8101938,0.285386075957822,"Scaled biomass index"
2013,"petrale sole",22649805.4201094,"BLL","Petrale sole BLL",47518396.8101938,0.476653400378408,"Scaled biomass index"
2014,"petrale sole",23911850.6167086,"BLL","Petrale sole BLL",47518396.8101938,0.503212486570652,"Scaled biomass index"
2015,"petrale sole",18916231.4851669,"BLL","Petrale sole BLL",47518396.8101938,0.398082274549904,"Scaled biomass index"
2016,"petrale sole",19891138.6968003,"BLL","Petrale sole BLL",47518396.8101938,0.418598690866043,"Scaled biomass index"
2017,"petrale sole",27069797.5258197,"BLL","Petrale sole BLL",47518396.8101938,0.569669840376697,"Scaled biomass index"
2018,"petrale sole",21058115.461846,"BLL","Petrale sole BLL",47518396.8101938,0.443157111254403,"Scaled biomass index"
2019,"petrale sole",21224664.505898,"BLL","Petrale sole BLL",47518396.8101938,0.446662049451651,"Scaled biomass index"
2021,"petrale sole",27926769.9332923,"BLL","Petrale sole BLL",47518396.8101938,0.587704379944514,"Scaled biomass index"
2022,"petrale sole",21145057.4269052,"BLL","Petrale sole BLL",47518396.8101938,0.44498675978835,"Scaled biomass index"
2023,"petrale sole",35223668.0575787,"BLL","Petrale sole BLL",47518396.8101938,0.741263814060798,"Scaled biomass index"
2024,"petrale sole",26445654.9252609,"BLL","Petrale sole BLL",47518396.8101938,0.556535083262481,"Scaled biomass index"
2003,"petrale sole",14352378.2412109,"AST","Petrale sole AST",47518396.8101938,0.302038351557601,"Scaled biomass index"
2004,"petrale sole",14523910.1753065,"AST","Petrale sole AST",47518396.8101938,0.305648152089819,"Scaled biomass index"
2005,"petrale sole",14973305.3109052,"AST","Petrale sole AST",47518396.8101938,0.315105439493554,"Scaled biomass index"
2006,"petrale sole",12345106.9313751,"AST","Petrale sole AST",47518396.8101938,0.259796368566179,"Scaled biomass index"
2007,"petrale sole",11024461.262707,"AST","Petrale sole AST",47518396.8101938,0.23200406585144,"Scaled biomass index"
2008,"petrale sole",12098835.3243188,"AST","Petrale sole AST",47518396.8101938,0.254613710404542,"Scaled biomass index"
2009,"petrale sole",10460268.8843653,"AST","Petrale sole AST",47518396.8101938,0.220130930051102,"Scaled biomass index"
2010,"petrale sole",17059960.756052,"AST","Petrale sole AST",47518396.8101938,0.359018020414196,"Scaled biomass index"
2011,"petrale sole",23788869.9123246,"AST","Petrale sole AST",47518396.8101938,0.50062442147083,"Scaled biomass index"
2012,"petrale sole",24636942.3225285,"AST","Petrale sole AST",47518396.8101938,0.518471665215003,"Scaled biomass index"
2013,"petrale sole",36665618.6171376,"AST","Petrale sole AST",47518396.8101938,0.771608915250103,"Scaled biomass index"
2014,"petrale sole",41313265.4560897,"AST","Petrale sole AST",47518396.8101938,0.8694162309623,"Scaled biomass index"
2015,"petrale sole",39777059.3725063,"AST","Petrale sole AST",47518396.8101938,0.83708757118618,"Scaled biomass index"
2016,"petrale sole",47518396.8101938,"AST","Petrale sole AST",47518396.8101938,1,"Scaled biomass index"
2017,"petrale sole",39283622.4385633,"AST","Petrale sole AST",47518396.8101938,0.826703446992893,"Scaled biomass index"
2018,"petrale sole",28732746.7773406,"AST","Petrale sole AST",47518396.8101938,0.604665744345499,"Scaled biomass index"
2019,"petrale sole",34212525.6077312,"AST","Petrale sole AST",47518396.8101938,0.719984845961633,"Scaled biomass index"
2021,"petrale sole",37785088.8362977,"AST","Petrale sole AST",47518396.8101938,0.795167585035022,"Scaled biomass index"
2022,"petrale sole",46508760.5237733,"AST","Petrale sole AST",47518396.8101938,0.978752728328496,"Scaled biomass index"
2023,"petrale sole",41983983.4177952,"AST","Petrale sole AST",47518396.8101938,0.883531142380389,"Scaled biomass index"
2024,"petrale sole",32214419.7090934,"AST","Petrale sole AST",47518396.8101938,0.677935744292253,"Scaled biomass index"
2003,"petrale sole",4555484.18849361,"COS","Petrale sole COS",47518396.8101938,0.0958678005634304,"Scaled biomass index"
2004,"petrale sole",5096036.42147152,"COS","Petrale sole COS",47518396.8101938,0.107243441773235,"Scaled biomass index"
2005,"petrale sole",6597380.17842744,"COS","Petrale sole COS",47518396.8101938,0.138838441978163,"Scaled biomass index"
2006,"petrale sole",5983220.86689075,"COS","Petrale sole COS",47518396.8101938,0.125913778000339,"Scaled biomass index"
2007,"petrale sole",5145593.54603512,"COS","Petrale sole COS",47518396.8101938,0.108286345740757,"Scaled biomass index"
2008,"petrale sole",4959083.43843838,"COS","Petrale sole COS",47518396.8101938,0.104361337320508,"Scaled biomass index"
2009,"petrale sole",5376742.70666733,"COS","Petrale sole COS",47518396.8101938,0.113150759865575,"Scaled biomass index"
2010,"petrale sole",8463628.57257356,"COS","Petrale sole COS",47518396.8101938,0.178112670896294,"Scaled biomass index"
2011,"petrale sole",7979363.84436489,"COS","Petrale sole COS",47518396.8101938,0.167921571012537,"Scaled biomass index"
2012,"petrale sole",10825007.6365876,"COS","Petrale sole COS",47518396.8101938,0.227806667801245,"Scaled biomass index"
2013,"petrale sole",11710344.8043579,"COS","Petrale sole COS",47518396.8101938,0.246438129028918,"Scaled biomass index"
2014,"petrale sole",13188746.2859285,"COS","Petrale sole COS",47518396.8101938,0.277550320954834,"Scaled biomass index"
2015,"petrale sole",15045386.0954268,"COS","Petrale sole COS",47518396.8101938,0.31662234219567,"Scaled biomass index"
2016,"petrale sole",17396580.5162771,"COS","Petrale sole COS",47518396.8101938,0.366102008570817,"Scaled biomass index"
2017,"petrale sole",14470389.8560099,"COS","Petrale sole COS",47518396.8101938,0.304521844745942,"Scaled biomass index"
2018,"petrale sole",9750468.83327927,"COS","Petrale sole COS",47518396.8101938,0.205193556344636,"Scaled biomass index"
2019,"petrale sole",8994123.58512879,"COS","Petrale sole COS",47518396.8101938,0.189276663121752,"Scaled biomass index"
2021,"petrale sole",11728094.2257856,"COS","Petrale sole COS",47518396.8101938,0.246811656391355,"Scaled biomass index"
2022,"petrale sole",13095449.2205503,"COS","Petrale sole COS",47518396.8101938,0.275586932632815,"Scaled biomass index"
2023,"petrale sole",9550021.78890051,"COS","Petrale sole COS",47518396.8101938,0.200975252322734,"Scaled biomass index"
2024,"petrale sole",9709636.60885931,"COS","Petrale sole COS",47518396.8101938,0.20433426337263,"Scaled biomass index"
2003,"petrale sole",4536203.41233708,"BRK","Petrale sole BRK",47518396.8101938,0.0954620466354613,"Scaled biomass index"
2004,"petrale sole",5427220.52914487,"BRK","Petrale sole BRK",47518396.8101938,0.114213039442875,"Scaled biomass index"
2005,"petrale sole",7208979.47751305,"BRK","Petrale sole BRK",47518396.8101938,0.151709231822538,"Scaled biomass index"
2006,"petrale sole",6529140.34447752,"BRK","Petrale sole BRK",47518396.8101938,0.13740237008747,"Scaled biomass index"
2007,"petrale sole",5829054.20655406,"BRK","Petrale sole BRK",47518396.8101938,0.12266942064223,"Scaled biomass index"
2008,"petrale sole",4259548.34616935,"BRK","Petrale sole BRK",47518396.8101938,0.0896399843450857,"Scaled biomass index"
2009,"petrale sole",5929595.42090543,"BRK","Petrale sole BRK",47518396.8101938,0.124785258319855,"Scaled biomass index"
2010,"petrale sole",7738352.6636111,"BRK","Petrale sole BRK",47518396.8101938,0.162849615792405,"Scaled biomass index"
2011,"petrale sole",7175868.5633388,"BRK","Petrale sole BRK",47518396.8101938,0.151012429817485,"Scaled biomass index"
2012,"petrale sole",11929680.0304848,"BRK","Petrale sole BRK",47518396.8101938,0.251053925033211,"Scaled biomass index"
2013,"petrale sole",11881768.3472297,"BRK","Petrale sole BRK",47518396.8101938,0.250045648524084,"Scaled biomass index"
2014,"petrale sole",14535962.7581776,"BRK","Petrale sole BRK",47518396.8101938,0.305901792441349,"Scaled biomass index"
2015,"petrale sole",15447642.8871093,"BRK","Petrale sole BRK",47518396.8101938,0.325087627615319,"Scaled biomass index"
2016,"petrale sole",14750099.7648215,"BRK","Petrale sole BRK",47518396.8101938,0.31040819461437,"Scaled biomass index"
2017,"petrale sole",12816536.0009458,"BRK","Petrale sole BRK",47518396.8101938,0.26971734867529,"Scaled biomass index"
2018,"petrale sole",8552517.44891621,"BRK","Petrale sole BRK",47518396.8101938,0.179983291167801,"Scaled biomass index"
2019,"petrale sole",7510450.57057984,"BRK","Petrale sole BRK",47518396.8101938,0.158053534520101,"Scaled biomass index"
2021,"petrale sole",9867073.21542107,"BRK","Petrale sole BRK",47518396.8101938,0.207647435052025,"Scaled biomass index"
2022,"petrale sole",9993993.17530998,"BRK","Petrale sole BRK",47518396.8101938,0.210318399739573,"Scaled biomass index"
2023,"petrale sole",8582540.68292971,"BRK","Petrale sole BRK",47518396.8101938,0.1806151145463,"Scaled biomass index"
2024,"petrale sole",8394437.34911704,"BRK","Petrale sole BRK",47518396.8101938,0.176656577507182,"Scaled biomass index"
2003,"petrale sole",4710475.00502889,"CRS","Petrale sole CRS",47518396.8101938,0.099129501861022,"Scaled biomass index"
2004,"petrale sole",5798290.18055385,"CRS","Petrale sole CRS",47518396.8101938,0.122022007680823,"Scaled biomass index"
2005,"petrale sole",7433000.05827798,"CRS","Petrale sole CRS",47518396.8101938,0.156423628683606,"Scaled biomass index"
