*GLOBAL*,Conventions,"COARDS, CF-1.6, ACDD-1.3, NCCSV-1.1"
*GLOBAL*,history,"last updated: 2026-02-24 00:41:15"
*GLOBAL*,title,"Euphausia pacifica (krill) lengths and biomass Trinidad Line Stations TH04, TH05"
*GLOBAL*,institution,"NOAA SWFSC; Cal Poly Humboldt"
*GLOBAL*,summary,"NOAA SWFSC; Cal Poly Humboldt"
*GLOBAL*,contributor_name,"Bjorkstedt"
*GLOBAL*,contributor_email,"eric.bjorkstedt@noaa.gov"
time,*DATA_TYPE*,String
time,units,"yyyy-MM-dd"
index,*DATA_TYPE*,float
index,units,"mg c m2"
index,long_name,"Krill Body Length and Biomass Measurements"
timeseries,*DATA_TYPE*,String
SEup,*DATA_TYPE*,float
SElo,*DATA_TYPE*,float
*END_METADATA*
"time","index","timeseries","SEup","SElo"
"13825-01",1397.3,"Euphausia pacifica (krill) total mean biomass",79.2100741763482,1318.09
"13825-01",694.55,"Euphausia pacifica (krill) total mean biomass",47.4275111344216,647.13
"13825-01",2101.75,"Euphausia pacifica (krill) total mean biomass",102.470673745202,1999.27
"13825-01",468.64,"Euphausia pacifica (krill) total mean biomass",59.3971189049263,409.24
"13825-01",0.62,"Euphausia pacifica (krill) total mean biomass",0.0567079593811067,0.56
"13825-01",1466.67,"Euphausia pacifica (krill) total mean biomass",112.066377254342,1354.6
"13825-01",11.83,"Euphausia pacifica (krill) total mean biomass",0.665250176108628,11.17
"13825-01",1245.01,"Euphausia pacifica (krill) total mean biomass",82.1349756071529,1162.87
"13825-01",674.38,"Euphausia pacifica (krill) total mean biomass",73.5537537340431,600.82
"13825-01",1159.35,"Euphausia pacifica (krill) total mean biomass",64.7107323655555,1094.64
"13825-01",1557.21,"Euphausia pacifica (krill) total mean biomass",69.3056658208463,1487.91
"13825-01",207.33,"Euphausia pacifica (krill) total mean biomass",11.065921487864,196.26
"13825-01",145.75,"Euphausia pacifica (krill) total mean biomass",11.3168395019327,134.44
"13825-01",108.68,"Euphausia pacifica (krill) total mean biomass",8.10032115303481,100.58
"13825-01",2301.18,"Euphausia pacifica (krill) total mean biomass",92.4547118580456,2208.73
"13825-01",41.47,"Euphausia pacifica (krill) total mean biomass",4.20571317911524,37.27
"13825-01",56.71,"Euphausia pacifica (krill) total mean biomass",9.66882476746117,47.04
"13825-01",324.6,"Euphausia pacifica (krill) total mean biomass",28.0387051096922,296.56
"13825-01",569.85,"Euphausia pacifica (krill) total mean biomass",53.8181829457819,516.03
"13825-01",1391,"Euphausia pacifica (krill) total mean biomass",138.395447158362,1252.61
"13825-01",1237.92,"Euphausia pacifica (krill) total mean biomass",205.151418960263,1032.77
"13825-01",763.97,"Euphausia pacifica (krill) total mean biomass",82.8208276071908,681.15
"13825-01",128.06,"Euphausia pacifica (krill) total mean biomass",14.9701171456843,113.09
"13825-01",474.07,"Euphausia pacifica (krill) total mean biomass",57.9205044037499,416.14
"13825-01",363.55,"Euphausia pacifica (krill) total mean biomass",31.3476735102609,332.2
"13825-01",81.32,"Euphausia pacifica (krill) total mean biomass",2.99715132032108,78.32
"13825-01",628.92,"Euphausia pacifica (krill) total mean biomass",40.6467486356135,588.27
"13825-01",1927.19,"Euphausia pacifica (krill) total mean biomass",161.788460734657,1765.4
"13825-01",177.76,"Euphausia pacifica (krill) total mean biomass",19.2289525630558,158.53
"13825-01",1025.82,"Euphausia pacifica (krill) total mean biomass",61.7875537975237,964.04
"13825-01",1031.34,"Euphausia pacifica (krill) total mean biomass",63.8086873447106,967.53
"13825-01",3208.07,"Euphausia pacifica (krill) total mean biomass",153.151454498869,3054.92
"13825-01",23.37,"Euphausia pacifica (krill) total mean biomass",4.71517892049047,18.65
"13825-01",246.25,"Euphausia pacifica (krill) total mean biomass",34.6236911696132,211.62
"13825-01",1992.93,"Euphausia pacifica (krill) total mean biomass",149.350602337086,1843.58
"13825-01",1411.46,"Euphausia pacifica (krill) total mean biomass",60.3272729556298,1351.13
"13825-01",1048.99,"Euphausia pacifica (krill) total mean biomass",52.8442696336527,996.15
"13825-01",1210.64,"Euphausia pacifica (krill) total mean biomass",104.375761686241,1106.26
"13825-01",141.55,"Euphausia pacifica (krill) total mean biomass",13.4183442904685,128.13
"13825-01",103.98,"Euphausia pacifica (krill) total mean biomass",15.2324283197422,88.75
"13825-01",295.88,"Euphausia pacifica (krill) total mean biomass",25.3486266868034,270.54
"13825-01",292.37,"Euphausia pacifica (krill) total mean biomass",16.9695766840469,275.4
"13825-01",428.59,"Euphausia pacifica (krill) total mean biomass",21.8771328840848,406.71
"13825-01",2306.15,"Euphausia pacifica (krill) total mean biomass",86.9835224256117,2219.17
"13825-01",1795.49,"Euphausia pacifica (krill) total mean biomass",87.968798282469,1707.52
"13825-01",1174,"Euphausia pacifica (krill) total mean biomass",189.564812766461,984.43
"13825-01",700.23,"Euphausia pacifica (krill) total mean biomass",149.006047044291,551.22
"13825-01",357.69,"Euphausia pacifica (krill) total mean biomass",58.5131341013023,299.18
"13825-01",902.42,"Euphausia pacifica (krill) total mean biomass",71.0734425147868,831.35
"13825-01",205.97,"Euphausia pacifica (krill) total mean biomass",10.1102798678296,195.86
"13825-01",85.31,"Euphausia pacifica (krill) total mean biomass",4.80245941699814,80.51
"13825-01",60.41,"Euphausia pacifica (krill) total mean biomass",3.52286350577045,56.88
"13825-01",702.34,"Euphausia pacifica (krill) total mean biomass",20.8445233107646,681.49
"13825-01",1695.35,"Euphausia pacifica (krill) total mean biomass",117.233582924666,1578.11
"13825-01",1080.81,"Euphausia pacifica (krill) total mean biomass",102.199428850831,978.61
"13825-01",482.87,"Euphausia pacifica (krill) total mean biomass",38.0509912540312,444.81
"13825-01",1166.34,"Euphausia pacifica (krill) total mean biomass",124.840398293931,1041.5
"13825-01",530.55,"Euphausia pacifica (krill) total mean biomass",49.0898031178435,481.46
"13825-01",539.37,"Euphausia pacifica (krill) total mean biomass",46.1043962650203,493.26
"13825-01",264.11,"Euphausia pacifica (krill) total mean biomass",15.016817228473,249.09
"13825-01",72.21,"Euphausia pacifica (krill) total mean biomass",7.29668506029446,64.92
"13825-01",44.02,"Euphausia pacifica (krill) total mean biomass",5.86840991452534,38.15
"13825-01",105.75,"Euphausia pacifica (krill) total mean biomass",22.4329858320842,83.32
"13825-01",257.89,"Euphausia pacifica (krill) total mean biomass",32.1120589212069,225.78
"13825-01",778.36,"Euphausia pacifica (krill) total mean biomass",87.1433129550951,691.21
"13825-01",425.4,"Euphausia pacifica (krill) total mean biomass",55.2389536970562,370.17
"13825-01",1641.65,"Euphausia pacifica (krill) total mean biomass",165.735871897203,1475.92
"13825-01",939.7,"Euphausia pacifica (krill) total mean biomass",152.738914903863,786.97
"13825-01",819.33,"Euphausia pacifica (krill) total mean biomass",63.8606114861946,755.47
"13825-01",494.6,"Euphausia pacifica (krill) total mean biomass",43.4377106167661,451.16
"13825-01",320.3,"Euphausia pacifica (krill) total mean biomass",22.6429690609737,297.66
"13825-01",312.54,"Euphausia pacifica (krill) total mean biomass",19.922466965762,292.62
"13825-01",161.32,"Euphausia pacifica (krill) total mean biomass",7.38091459960094,153.94
"13825-01",142.36,"Euphausia pacifica (krill) total mean biomass",14.9728843981843,127.39
"13825-01",1018.71,"Euphausia pacifica (krill) total mean biomass",95.3774394267472,923.33
"13825-01",787.86,"Euphausia pacifica (krill) total mean biomass",46.5499222808102,741.31
"13825-01",723.72,"Euphausia pacifica (krill) total mean biomass",42.4754739463592,681.24
"13825-01",400.43,"Euphausia pacifica (krill) total mean biomass",29.8553183304997,370.57
"13825-01",212,"Euphausia pacifica (krill) total mean biomass",16.7335416016481,195.27
"13825-01",1208.27,"Euphausia pacifica (krill) total mean biomass",103.756191952924,1104.52
"13825-01",631.78,"Euphausia pacifica (krill) total mean biomass",39.7265319966959,592.05
"13825-01",2254.29,"Euphausia pacifica (krill) total mean biomass",99.2388761188632,2155.05
"13825-01",3908.83,"Euphausia pacifica (krill) total mean biomass",161.814279591498,3747.02
"13825-01",991.5,"Euphausia pacifica (krill) total mean biomass",71.722067426801,919.78
"13825-01",649.38,"Euphausia pacifica (krill) total mean biomass",64.4503293311156,584.93
"13825-01",806.52,"Euphausia pacifica (krill) total mean biomass",43.8259417593474,762.69
"13825-01",559.2,"Euphausia pacifica (krill) total mean biomass",41.1793570811102,518.02
"13825-01",522.15,"Euphausia pacifica (krill) total mean biomass",49.066113320502,473.08
"13825-01",172.1,"Euphausia pacifica (krill) total mean biomass",17.3351549845782,154.76
"13825-01",442.15,"Euphausia pacifica (krill) total mean biomass",30.7449190806303,411.4
"13825-01",332.81,"Euphausia pacifica (krill) total mean biomass",22.0018848056062,310.81
"13825-01",513.08,"Euphausia pacifica (krill) total mean biomass",34.2824539401197,478.8
"13825-01",231.67,"Euphausia pacifica (krill) total mean biomass",21.07784145802,210.59
"13825-01",1256.79,"Euphausia pacifica (krill) total mean biomass",103.465322646293,1153.32
"13825-01",338.78,"Euphausia pacifica (krill) total mean biomass",32.7419005349063,306.03
"13825-01",438.03,"Euphausia pacifica (krill) total mean biomass",44.2347523072333,393.8
"13825-01",881.72,"Euphausia pacifica (krill) total mean biomass",66.6747635335822,815.04
"13825-01",191.7,"Euphausia pacifica (krill) total mean biomass",17.1353738351387,174.57
"13825-01",66.16,"Euphausia pacifica (krill) total mean biomass",6.83127320958307,59.33
"13825-01",1027.92,"Euphausia pacifica (krill) total mean biomass",51.7058888188252,976.22
"13825-01",304.66,"Euphausia pacifica (krill) total mean biomass",11.1625098966167,293.5
"13825-01",5274.1,"Euphausia pacifica (krill) total mean biomass",237.55703069861,5036.54
"13825-01",1131.23,"Euphausia pacifica (krill) total mean biomass",106.119253660565,1025.11
"13825-01",2023.66,"Euphausia pacifica (krill) total mean biomass",114.391120285578,1909.27
"13825-01",50.69,"Euphausia pacifica (krill) total mean biomass",4.2477463196735,46.44
"13825-01",1861.7,"Euphausia pacifica (krill) total mean biomass",106.398574905968,1755.3
"13825-01",906.24,"Euphausia pacifica (krill) total mean biomass",82.9486958100224,823.29
"13825-01",88.18,"Euphausia pacifica (krill) total mean biomass",10.3650241117794,77.82
"13825-01",2314.32,"Euphausia pacifica (krill) total mean biomass",146.181427104936,2168.14
"13825-01",1441.68,"Euphausia pacifica (krill) total mean biomass",136.794393847191,1304.88
"13825-01",117.18,"Euphausia pacifica (krill) total mean biomass",10.470903658511,106.71
"13825-01",264.14,"Euphausia pacifica (krill) total mean biomass",17.4614041031427,246.68
"13825-01",670.24,"Euphausia pacifica (krill) total mean biomass",35.7689559041905,634.48
"13825-01",604.77,"Euphausia pacifica (krill) total mean biomass",32.5298009466826,572.24
"13825-01",536.21,"Euphausia pacifica (krill) total mean biomass",50.5079622038882,485.7
"13825-01",240.88,"Euphausia pacifica (krill) total mean biomass",26.2909275393189,214.59
"13825-01",252.36,"Euphausia pacifica (krill) total mean biomass",19.9176793083381,232.45
"13825-01",270.32,"Euphausia pacifica (krill) total mean biomass",37.2609791688625,233.06
"13825-01",1644.29,"Euphausia pacifica (krill) total mean biomass",148.043725240416,1496.24
"13825-01",311.59,"Euphausia pacifica (krill) total mean biomass",20.4644200141028,291.12
"13825-01",166.8,"Euphausia pacifica (krill) total mean biomass",17.4195093905682,149.38
"13825-01",189.29,"Euphausia pacifica (krill) total mean biomass",16.037110333316,173.25
"13825-01",482.12,"Euphausia pacifica (krill) total mean biomass",32.6667613187994,449.46
"13825-01",1097.57,"Euphausia pacifica (krill) total mean biomass",52.2034217989486,1045.37
"13825-01",230.54,"Euphausia pacifica (krill) total mean biomass",26.3788509530701,204.16
"13825-01",2211.23,"Euphausia pacifica (krill) total mean biomass",224.184903920631,1987.05
"13825-01",218.54,"Euphausia pacifica (krill) total mean biomass",25.7066310478786,192.84
"13825-01",810.47,"Euphausia pacifica (krill) total mean biomass",66.7535377768374,743.72
"13825-01",1944.98,"Euphausia pacifica (krill) total mean biomass",145.628709118506,1799.35
"13825-01",1446.22,"Euphausia pacifica (krill) total mean biomass",101.479419906936,1344.74
"13825-01",398.26,"Euphausia pacifica (krill) total mean biomass",36.7214735532489,361.54
"13825-01",73.17,"Euphausia pacifica (krill) total mean biomass",6.41521404321022,66.75
"13825-01",30.04,"Euphausia pacifica (krill) total mean biomass",6.32470319779523,23.72
"13825-01",98.49,"Euphausia pacifica (krill) total mean biomass",8.5682117134422,89.92
"13825-01",734.36,"Euphausia pacifica (krill) total mean biomass",39.4882409851899,694.87
"13825-01",706.78,"Euphausia pacifica (krill) total mean biomass",91.3861799219478,615.39
"13825-01",1502.79,"Euphausia pacifica (krill) total mean biomass",116.773676576947,1386.02
"13825-01",530.94,"Euphausia pacifica (krill) total mean biomass",90.8646329642686,440.07
"13825-01",2.74,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",3.81,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",1.77,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",1.74,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",NaN,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",2.86,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",3.74,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",1.78,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",3.68,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",3.07,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",1.23,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",0.66,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",3.37,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",3.29,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",2.35,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",0.28,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-0.21,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",1.24,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",0.74,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-3.13,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-0.53,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-0.93,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",NaN,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",1.88,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",1.89,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",0.7,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",3.07,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",0.25,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",NaN,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-0.85,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",NaN,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-1.08,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-0.99,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-0.6,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",0.65,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-0.09,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",0.01,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-0.86,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",1.33,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",0.54,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-1.93,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",1.87,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-1.09,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",0.54,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",1.39,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-0.12,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-1.73,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-0.02,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-0.74,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",2.16,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",1.25,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",0.8,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-2.96,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",2.4,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",2.37,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",2.45,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-2.58,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",1.19,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",1.27,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",3,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",3.17,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",1.03,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",2.9,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-0.09,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",0.09,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-0.28,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",1.57,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",2.48,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",2.51,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-0.24,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-2.38,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-4.04,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-2.35,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-2.66,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-2.33,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-0.78,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",0.7,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-0.24,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-0.6,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-4.13,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-2.63,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-3.3,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-1.39,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-1.47,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-1.81,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-2.05,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-1.93,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-1.91,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-3.47,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-2.38,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-2.28,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-2.18,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-1.6,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-1.68,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-1.1,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-0.31,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",0.41,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-2.98,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-0.73,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",0.99,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-0.79,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",1.53,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",1.53,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-0.5,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-0.02,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",0.68,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",2.12,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",0.99,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",0.87,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",1.91,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",0.85,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-0.15,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-0.22,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",0.08,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-1.35,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",0.11,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-5.46,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-0.79,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-3.22,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-0.17,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-0.26,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-0.38,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-0.7,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",1.27,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",1.49,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",1.62,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",0.19,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",2.08,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-1.83,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-0.47,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",0.74,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-2.71,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-0.61,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",0.25,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",0.24,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-0.26,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-0.68,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",0.96,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-0.78,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-2.16,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-0.01,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-1.01,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-0.07,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",0.48,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",0.05,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",0.66,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-0.45,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",2.15,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-1.28,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-0.71,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-2.33,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",0.08,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-0.26,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",0.83,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-2.35,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-1.49,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-1.51,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",0.27,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",1.84,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-0.08,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-0.15,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",-0.1,"Euphausia pacifica (krill) length anomaly",NaN,NaN
"13825-01",1920.42510497283,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-409.678388609772,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-378.694477406676,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",635.185958987276,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",NaN,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-837.243276970972,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",2623.94658258031,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",123.106012043846,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-12.0851398637167,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-317.011076261092,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",3197.72079663484,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",1150.80639357504,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",938.295797358441,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",849.51986171405,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",392.139738467648,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",2065.27587135383,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",602.017007076695,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-102.702757861622,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-323.392222318121,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-801.106944458902,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-132.044827964609,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-472.25304786185,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",NaN,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-458.091642422317,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",1676.36869569293,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-339.056728080566,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",1076.09123067564,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-460.046703536884,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",NaN,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-85.0004962794806,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
