"year","cog_N","cog_Lat","species","index","timeseries","metric","note"
2021,5130.43108599463,46.3093021933703,"yellowtail rockfish",46.3093021933703,"Yellowtail rockfish","Center of gravity","CoG is in latitude"
2022,5149.87161549579,46.4842943580188,"yellowtail rockfish",46.4842943580188,"Yellowtail rockfish","Center of gravity","CoG is in latitude"
2023,5137.69363349197,46.375119960433,"yellowtail rockfish",46.375119960433,"Yellowtail rockfish","Center of gravity","CoG is in latitude"
2024,5146.12614247474,46.4508785692789,"yellowtail rockfish",46.4508785692789,"Yellowtail rockfish","Center of gravity","CoG is in latitude"
2003,4064.54022934891,36.7127926397081,"shortbelly rockfish",36.7127926397081,"Shortbelly rockfish","Center of gravity","CoG is in latitude"
2004,4031.26155705985,36.4092368247164,"shortbelly rockfish",36.4092368247164,"Shortbelly rockfish","Center of gravity","CoG is in latitude"
2005,4056.14402395464,36.6407827237197,"shortbelly rockfish",36.6407827237197,"Shortbelly rockfish","Center of gravity","CoG is in latitude"
2006,3999.82393960109,36.1206997739058,"shortbelly rockfish",36.1206997739058,"Shortbelly rockfish","Center of gravity","CoG is in latitude"
2007,3949.72851694711,35.6609670628064,"shortbelly rockfish",35.6609670628064,"Shortbelly rockfish","Center of gravity","CoG is in latitude"
2008,3946.76909890974,35.6371015284763,"shortbelly rockfish",35.6371015284763,"Shortbelly rockfish","Center of gravity","CoG is in latitude"
2009,3921.71973813429,35.4052637391424,"shortbelly rockfish",35.4052637391424,"Shortbelly rockfish","Center of gravity","CoG is in latitude"
2010,3900.13857981839,35.2158714721833,"shortbelly rockfish",35.2158714721833,"Shortbelly rockfish","Center of gravity","CoG is in latitude"
2011,3985.72697137843,35.9944979560007,"shortbelly rockfish",35.9944979560007,"Shortbelly rockfish","Center of gravity","CoG is in latitude"
2012,4015.51578903207,36.2664277647864,"shortbelly rockfish",36.2664277647864,"Shortbelly rockfish","Center of gravity","CoG is in latitude"
2013,4104.44313564151,37.0647555421101,"shortbelly rockfish",37.0647555421101,"Shortbelly rockfish","Center of gravity","CoG is in latitude"
2014,4068.89155200503,36.744709929471,"shortbelly rockfish",36.744709929471,"Shortbelly rockfish","Center of gravity","CoG is in latitude"
2015,4125.98728433806,37.2667351857429,"shortbelly rockfish",37.2667351857429,"Shortbelly rockfish","Center of gravity","CoG is in latitude"
2016,4130.78026874951,37.3080105216277,"shortbelly rockfish",37.3080105216277,"Shortbelly rockfish","Center of gravity","CoG is in latitude"
2017,4208.51656800985,38.0017383127616,"shortbelly rockfish",38.0017383127616,"Shortbelly rockfish","Center of gravity","CoG is in latitude"
2018,4118.29501183207,37.1929928331148,"shortbelly rockfish",37.1929928331148,"Shortbelly rockfish","Center of gravity","CoG is in latitude"
2019,4164.69102813415,37.6127601854963,"shortbelly rockfish",37.6127601854963,"Shortbelly rockfish","Center of gravity","CoG is in latitude"
2021,4204.47581392825,37.9695363019298,"shortbelly rockfish",37.9695363019298,"Shortbelly rockfish","Center of gravity","CoG is in latitude"
2022,4275.99206662774,38.6108176778113,"shortbelly rockfish",38.6108176778113,"Shortbelly rockfish","Center of gravity","CoG is in latitude"
2023,4140.05200950523,37.3861431846467,"shortbelly rockfish",37.3861431846467,"Shortbelly rockfish","Center of gravity","CoG is in latitude"
2024,4075.79148819201,36.8087850315428,"shortbelly rockfish",36.8087850315428,"Shortbelly rockfish","Center of gravity","CoG is in latitude"
2003,4929.46564988819,44.5032459694827,"canary rockfish",44.5032459694827,"Canary rockfish","Center of gravity","CoG is in latitude"
2004,4929.43607361249,44.5029353279608,"canary rockfish",44.5029353279608,"Canary rockfish","Center of gravity","CoG is in latitude"
2005,4927.94337558545,44.489408837485,"canary rockfish",44.489408837485,"Canary rockfish","Center of gravity","CoG is in latitude"
2006,4900.01023256005,44.2377858014439,"canary rockfish",44.2377858014439,"Canary rockfish","Center of gravity","CoG is in latitude"
2007,4930.60991644148,44.5135800555845,"canary rockfish",44.5135800555845,"Canary rockfish","Center of gravity","CoG is in latitude"
2008,4904.45541286059,44.27830555999,"canary rockfish",44.27830555999,"Canary rockfish","Center of gravity","CoG is in latitude"
2009,4922.00847819959,44.4356199412984,"canary rockfish",44.4356199412984,"Canary rockfish","Center of gravity","CoG is in latitude"
2010,4944.1513799979,44.6354659211509,"canary rockfish",44.6354659211509,"Canary rockfish","Center of gravity","CoG is in latitude"
2011,4952.28271164421,44.7082669572707,"canary rockfish",44.7082669572707,"Canary rockfish","Center of gravity","CoG is in latitude"
2012,4947.03507812236,44.6614287157895,"canary rockfish",44.6614287157895,"Canary rockfish","Center of gravity","CoG is in latitude"
2013,4945.48919350025,44.6474331345125,"canary rockfish",44.6474331345125,"Canary rockfish","Center of gravity","CoG is in latitude"
2014,4949.71740240695,44.6859374341596,"canary rockfish",44.6859374341596,"Canary rockfish","Center of gravity","CoG is in latitude"
2015,4940.44282534648,44.6026412594682,"canary rockfish",44.6026412594682,"Canary rockfish","Center of gravity","CoG is in latitude"
2016,4950.9959429774,44.6973792380706,"canary rockfish",44.6973792380706,"Canary rockfish","Center of gravity","CoG is in latitude"
2017,4953.30780212246,44.7183644677786,"canary rockfish",44.7183644677786,"Canary rockfish","Center of gravity","CoG is in latitude"
2018,4958.08681204629,44.7610393854578,"canary rockfish",44.7610393854578,"Canary rockfish","Center of gravity","CoG is in latitude"
2019,4918.4094718822,44.4040398521848,"canary rockfish",44.4040398521848,"Canary rockfish","Center of gravity","CoG is in latitude"
2021,4932.79014138213,44.5335166230441,"canary rockfish",44.5335166230441,"Canary rockfish","Center of gravity","CoG is in latitude"
2022,4940.86487375792,44.6058543709312,"canary rockfish",44.6058543709312,"Canary rockfish","Center of gravity","CoG is in latitude"
2023,4932.83554141358,44.5335804202079,"canary rockfish",44.5335804202079,"Canary rockfish","Center of gravity","CoG is in latitude"
2024,4959.96716847433,44.7775175183757,"canary rockfish",44.7775175183757,"Canary rockfish","Center of gravity","CoG is in latitude"
