year,index,n,se,SEup,SElo,timeseries,metric
2005,0.058986013,33,0.018772831,0.077758844,0.040213182,Yearling Chinook,CPUE (Log10(no. km-1+ 1)
2006,0.166236072,43,0.038105392,0.204341464,0.12813068,Yearling Chinook,CPUE (Log10(no. km-1+ 1)
2007,0.178550709,44,0.029343086,0.207893795,0.149207623,Yearling Chinook,CPUE (Log10(no. km-1+ 1)
2008,0.433820641,45,0.049540372,0.483361013,0.38428027,Yearling Chinook,CPUE (Log10(no. km-1+ 1)
2009,0.220371748,45,0.039474817,0.259846565,0.180896931,Yearling Chinook,CPUE (Log10(no. km-1+ 1)
2010,0.244981841,45,0.032007292,0.276989133,0.212974549,Yearling Chinook,CPUE (Log10(no. km-1+ 1)
2011,0.156978344,44,0.027099057,0.1840774,0.129879287,Yearling Chinook,CPUE (Log10(no. km-1+ 1)
2012,0.28558552,44,0.041401554,0.326987074,0.244183966,Yearling Chinook,CPUE (Log10(no. km-1+ 1)
2013,0.245028016,45,0.04207156,0.287099577,0.202956456,Yearling Chinook,CPUE (Log10(no. km-1+ 1)
2014,0.215681243,43,0.036537474,0.252218717,0.179143769,Yearling Chinook,CPUE (Log10(no. km-1+ 1)
2015,0.150802458,40,0.029488744,0.180291202,0.121313715,Yearling Chinook,CPUE (Log10(no. km-1+ 1)
2016,0.105469309,41,0.025888077,0.131357386,0.079581233,Yearling Chinook,CPUE (Log10(no. km-1+ 1)
2017,0.024850598,42,0.009098529,0.033949127,0.015752069,Yearling Chinook,CPUE (Log10(no. km-1+ 1)
2018,0.117720211,42,0.024030692,0.141750903,0.093689519,Yearling Chinook,CPUE (Log10(no. km-1+ 1)
2019,0.159156352,42,0.032926366,0.192082718,0.126229987,Yearling Chinook,CPUE (Log10(no. km-1+ 1)
2020,0.087455129,44,0.030474048,0.117929178,0.056981081,Yearling Chinook,CPUE (Log10(no. km-1+ 1)
2021,0.177739836,42,0.038546657,0.216286494,0.139193179,Yearling Chinook,CPUE (Log10(no. km-1+ 1)
2022,0.183660293,41,0.027373803,0.211034096,0.15628649,Yearling Chinook,CPUE (Log10(no. km-1+ 1)
2023,0.148094662,40,0.032688238,0.1807829,0.115406423,Yearling Chinook,CPUE (Log10(no. km-1+ 1)
2024,0.172070143,44,0.033486981,0.205557123,0.138583162,Yearling Chinook,CPUE (Log10(no. km-1+ 1)
1998,0.076816018,17,0.043301039,0.120117057,0.033514979,Yearling Coho,CPUE (Log10(no. km-1+ 1)
1999,0.28379575,29,0.077868133,0.361663883,0.205927616,Yearling Coho,CPUE (Log10(no. km-1+ 1)
2000,0.237041608,26,0.069179134,0.306220742,0.167862474,Yearling Coho,CPUE (Log10(no. km-1+ 1)
2001,0.435876145,37,0.067634736,0.503510881,0.368241409,Yearling Coho,CPUE (Log10(no. km-1+ 1)
2002,0.416773386,34,0.068757242,0.485530628,0.348016144,Yearling Coho,CPUE (Log10(no. km-1+ 1)
2003,0.427616359,38,0.072889536,0.500505895,0.354726823,Yearling Coho,CPUE (Log10(no. km-1+ 1)
2004,0.215660231,39,0.048058936,0.263719168,0.167601295,Yearling Coho,CPUE (Log10(no. km-1+ 1)
2005,0.074288827,33,0.023052814,0.097341641,0.051236013,Yearling Coho,CPUE (Log10(no. km-1+ 1)
2006,0.254735149,43,0.044345943,0.299081092,0.210389207,Yearling Coho,CPUE (Log10(no. km-1+ 1)
2007,0.467910285,44,0.060657314,0.528567599,0.407252971,Yearling Coho,CPUE (Log10(no. km-1+ 1)
2008,0.447687517,45,0.061737696,0.509425213,0.385949821,Yearling Coho,CPUE (Log10(no. km-1+ 1)
2009,0.327808381,45,0.046546809,0.37435519,0.281261571,Yearling Coho,CPUE (Log10(no. km-1+ 1)
2010,0.310553279,45,0.05452057,0.365073849,0.25603271,Yearling Coho,CPUE (Log10(no. km-1+ 1)
2011,0.25196194,44,0.043640982,0.295602922,0.208320959,Yearling Coho,CPUE (Log10(no. km-1+ 1)
2012,0.261876137,44,0.03762006,0.299496197,0.224256077,Yearling Coho,CPUE (Log10(no. km-1+ 1)
2013,0.489538078,45,0.07397272,0.563510798,0.415565358,Yearling Coho,CPUE (Log10(no. km-1+ 1)
2014,0.302656595,43,0.048057232,0.350713827,0.254599363,Yearling Coho,CPUE (Log10(no. km-1+ 1)
2015,0.255805459,40,0.057728988,0.313534446,0.198076471,Yearling Coho,CPUE (Log10(no. km-1+ 1)
2016,0.256608329,41,0.046148936,0.302757265,0.210459393,Yearling Coho,CPUE (Log10(no. km-1+ 1)
2017,0.068666,42,0.018264903,0.086930903,0.050401097,Yearling Coho,CPUE (Log10(no. km-1+ 1)
2018,0.459595562,42,0.067426385,0.527021947,0.392169178,Yearling Coho,CPUE (Log10(no. km-1+ 1)
2019,0.257534021,42,0.051654756,0.309188777,0.205879266,Yearling Coho,CPUE (Log10(no. km-1+ 1)
2020,0.235651332,44,0.053771903,0.289423236,0.181879429,Yearling Coho,CPUE (Log10(no. km-1+ 1)
2021,0.275534093,42,0.053778838,0.32931293,0.221755255,Yearling Coho,CPUE (Log10(no. km-1+ 1)
2022,0.377613439,41,0.06186897,0.439482409,0.315744469,Yearling Coho,CPUE (Log10(no. km-1+ 1)
2023,0.438343163,40,0.071335719,0.509678882,0.367007444,Yearling Coho,CPUE (Log10(no. km-1+ 1)
2024,0.445413327,44,0.069986062,0.515399389,0.375427266,Yearling Coho,CPUE (Log10(no. km-1+ 1)
1998,0,17,0,0,0,YOY Sablefish,CPUE (Log10(no. km-1+ 1)
1999,0,29,0,0,0,YOY Sablefish,CPUE (Log10(no. km-1+ 1)
2000,0,26,0,0,0,YOY Sablefish,CPUE (Log10(no. km-1+ 1)
2001,0.008835685,37,0.00637044,0.015206125,0.002465245,YOY Sablefish,CPUE (Log10(no. km-1+ 1)
2002,0,34,0,0,0,YOY Sablefish,CPUE (Log10(no. km-1+ 1)
2003,0.020897808,38,0.01561674,0.036514549,0.005281068,YOY Sablefish,CPUE (Log10(no. km-1+ 1)
2004,0.161316978,39,0.058262947,0.219579925,0.103054031,YOY Sablefish,CPUE (Log10(no. km-1+ 1)
2005,0.123717484,33,0.046562337,0.170279821,0.077155146,YOY Sablefish,CPUE (Log10(no. km-1+ 1)
2006,0.102075309,43,0.045654797,0.147730105,0.056420512,YOY Sablefish,CPUE (Log10(no. km-1+ 1)
2007,0.049894016,44,0.043494517,0.093388533,0.006399499,YOY Sablefish,CPUE (Log10(no. km-1+ 1)
2008,0,45,0,0,0,YOY Sablefish,CPUE (Log10(no. km-1+ 1)
2009,0.106963103,45,0.053550574,0.160513677,0.053412529,YOY Sablefish,CPUE (Log10(no. km-1+ 1)
2010,0,45,0,0,0,YOY Sablefish,CPUE (Log10(no. km-1+ 1)
2011,0,44,0,0,0,YOY Sablefish,CPUE (Log10(no. km-1+ 1)
2012,0.017122697,44,0.010967375,0.028090072,0.006155321,YOY Sablefish,CPUE (Log10(no. km-1+ 1)
2013,0.174881143,45,0.065874314,0.240755457,0.109006829,YOY Sablefish,CPUE (Log10(no. km-1+ 1)
2014,0.007282657,43,0.007282657,0.014565315,0,YOY Sablefish,CPUE (Log10(no. km-1+ 1)
2015,0,40,0,0,0,YOY Sablefish,CPUE (Log10(no. km-1+ 1)
2016,0.120103627,41,0.052958639,0.173062267,0.067144988,YOY Sablefish,CPUE (Log10(no. km-1+ 1)
2017,0.019637713,42,0.019637713,0.039275426,0,YOY Sablefish,CPUE (Log10(no. km-1+ 1)
2018,0.024337198,42,0.018566749,0.042903947,0.005770449,YOY Sablefish,CPUE (Log10(no. km-1+ 1)
2019,0,42,0,0,0,YOY Sablefish,CPUE (Log10(no. km-1+ 1)
2020,0.565536113,44,0.098880691,0.664416804,0.466655421,YOY Sablefish,CPUE (Log10(no. km-1+ 1)
2021,0.065133895,42,0.028555787,0.093689683,0.036578108,YOY Sablefish,CPUE (Log10(no. km-1+ 1)
2022,0.002539016,41,0.002539016,0.005078031,0,YOY Sablefish,CPUE (Log10(no. km-1+ 1)
2023,0.18629203,40,0.08488922,0.27118125,0.10140281,YOY Sablefish,CPUE (Log10(no. km-1+ 1)
2024,0.029554419,44,0.014810201,0.04436462,0.014744218,YOY Sablefish,CPUE (Log10(no. km-1+ 1)
